term,simple
Atypical fibroxanthoma,"A skin cancer that usually appears on the heads or necks of older individuals with sun damage, which can sometimes act non-aggressively."
atypical glandular cells,Unusual cells found during a Pap test.
atypical pneumonia,Pneumonia caused by unusual germs compared to normal cases.
AUC,AUC is a measure of how much of a drug is present in the body.
audible,Something that you can hear.
audiologist,Hearing specialist.
audiometry,Testing to measure how well you can hear sounds.
auditory,Related to hearing.
auditory canals,Ear holes that let sound into your head.
Auer,Needle-like bodies found inside certain cells that can indicate the presence of leukemia.
AUGMENT,A drug that helps fight bacterial infections.
augmentation,Making something bigger.
augmented,A medication that helps treat bacterial infections.
augmentin,An antibiotic used to treat bacterial infections.
augments,Augments are additional parts used to strengthen a bone during reconstruction.
AUH,Official permission to do something.
aura,When you get a weird feeling or notice strange things before a headache or seizure.
auras,Auras are a set of symptoms that can happen before a migraine or seizure.
AUREUS,Aureus is a kind of germ.
auricle,The auricle is the outer part of the ear.
auricular,Related to the ear.
auriculectomy,Heart surgery where they cut into the atria (auricles).
auriculotemporal,A nerve group that allows you to feel sensations on the side of your head.
Ausculation,Listening to the sounds inside the body.
auscultated,Listening to body sounds with a stethoscope to determine a person's illness.
auscultating,Listening to the sounds inside your body.
Auscultation,Listening to the sounds inside your body.
Australia antigen,A protein on the surface of the hepatitis B virus.
auth,Permission from an official source to do something.
authenticated,Proven to be genuine.
authentification,Checking to make sure something is genuine or real.
authorize,Giving permission or approval.
autism,A brain disorder starting in childhood that makes it challenging for children to communicate and connect with others.
Auto,Auto means automatic or self-operating.
auto neuropathy,Issue with the autonomic nervous system impacting various bodily functions.
autoamputate,When a body part falls off due to lack of blood flow.
autoamputation,When a body part or growth falls off on its own.
autoamputations,When a body part or growth spontaneously falls off on its own.
autoantibodies,Antibodies attacking the body's own proteins or cells.
autoantibody,The body's own immune system produces antibodies that attack itself.
autocrine loops,"Cells keep making substances that help them grow, leading to a loop of growth."
autodigestion,"When enzymes produced by the pancreas begin to digest the pancreas itself, causing inflammation."
autogenous,From within the same person.
autograft,Tissue moved from one part of a person's body to another part in the same body.
autografting,Autografting is when tissue is taken from one part of your body and put into another part.
Autografts,Tissue taken from your own body and moved to a different spot in your body.
autoimmune,Autoimmune is like your body mistakenly fighting against itself.
autoimmune cholangitis,A liver disease caused by the body's immune system attacking the liver.
Autoimmune Disease,A disease where your immune system attacks your own body.
autoimmune enteropathy,"The immune system mistakenly attacks and destroys cells in the intestine, leading to autoimmune enteropathy."
Autoimmune Hepatitis,"Autoimmune Hepatitis is when your immune system mistakenly attacks your liver, causing liver inflammation."
autologous,Cells or tissues taken from oneself.
autologous bone marrow,Bone marrow that comes from your own body.
autologous stem-cell transplant,Using a person's own healthy blood stem cells to replace their damaged bone marrow.
autolyzed,Autolyzed means broken down.
Automated,"A test that checks how quickly blood clots, indicating potential bleeding or clotting issues."
Automated Differential,A machine that counts the different types of blood cells in a person's blood.
AUTOMATIC IMPLANTABLE CARDIOVERTER,"""An automatic device put in the body to correct irregular heartbeats with a small shock."""
automimmune,The immune system attacks the body's own tissues in autoimmunity.
autonomic,When part of the nervous system that controls involuntary muscles has an issue.
autonomic dysfunction,"A problem with the autonomic nervous system that can mess with how your heart, bladder, intestines, and other body parts work."
autonomic dysreflexia,"A condition causing a sudden rise in blood pressure, often seen in individuals with spinal cord injuries."
autopeep,"It's when air gets trapped in your lungs because you can't fully exhale, making it hard to breathe when using a ventilator."
autopsy,An autopsy is when they examine a body after it dies to find out why it happened.
autoregulation,An organ regulating its own blood flow.
AutoSet titration,A machine brand that adjusts air pressure for people with breathing problems.
autosomal,Genetic conditions passed down from parent to child through non-sex chromosomes.
autosomal dominant,"A gene that, when present, guarantees that a certain characteristic or trait will be expressed in an individual."
autosomal recessive,"When both parents pass on a faulty gene, causing their child to inherit a disease or condition."
autotitration unit,A machine that helps treat sleep apnea by changing airway pressure levels during the night according to the person's breathing.
autotransfusion,Getting your own blood back instead of someone else's during a medical procedure.
AV block,"When the heart beats too slowly, it's called AV block."
AV bridge fistula,A connection between a blood vessel and a vein.
AV dissociation,"When the lower chambers of the heart beat independently from the upper chambers, signaling an issue with heart's electrical signals."
AV fist,When an artery and a vein are connected.
AV fistula,A link between an artery and a vein in the body.
AV graft,A tube connecting an artery and a vein for dialysis.
AV heart block,Heart rhythm problem where the heart beats too slowly.
AV loop graft,A plastic tube connecting an artery to a vein in a loop.
AV malformation,A bunch of blood vessels that are connected oddly and mess up how blood flows.
AV malformations,A mess of blood vessels connecting arteries and veins that messes up how blood flows.
AV nodal,Special cells in the heart that help regulate heart rate.
